Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification,Revenue_USD,Vehicle_Age,Price_Range,Mileage_Range
5 Series,2016,Asia,Red,Petrol,Manual,3.5,151748,98740,8300,High,819542000,8,Premium,Very High
I8,2013,North America,Red,Hybrid,Automatic,1.6,121671,79219,3428,Low,271562732,11,Premium,High
5 Series,2022,North America,Blue,Petrol,Automatic,4.5,10991,113265,6994,Low,792175410,2,Luxury,Low
X3,2024,Middle East,Blue,Petrol,Automatic,1.7,27255,60971,4047,Low,246749637,0,Premium,Low
7 Series,2020,South America,Black,Diesel,Manual,2.1,122131,49898,3080,Low,153685840,4,Mid-Range,High
5 Series,2017,Middle East,Silver,Diesel,Manual,1.9,171362,42926,1232,Low,52884832,7,Mid-Range,Very High
I8,2022,Europe,White,Diesel,Manual,1.8,196741,55064,7949,High,437703736,2,Mid-Range,Very High
M5,2014,Asia,Black,Diesel,Automatic,1.6,121156,102778,632,Low,64955696,10,Luxury,High
X3,2016,South America,White,Diesel,Automatic,1.7,48073,116482,8944,High,1041815008,8,Luxury,Low
I8,2019,Europe,White,Electric,Manual,3.0,35700,96257,4411,Low,424589627,5,Premium,Low
3 Series,2012,Middle East,White,Electric,Manual,2.4,101595,117995,500,Low,58997500,12,Luxury,High
I8,2016,North America,Blue,Hybrid,Manual,1.9,116863,74539,8252,High,615095828,8,Premium,High
7 Series,2020,North America,Silver,Diesel,Automatic,3.8,27403,100015,8111,High,811221665,4,Luxury,Low
5 Series,2020,Africa,White,Electric,Manual,2.3,163444,119486,4668,Low,557760648,4,Luxury,Very High
X1,2017,Asia,Black,Electric,Automatic,1.6,107918,34078,7291,High,248462698,7,Mid-Range,High
M3,2014,North America,Silver,Hybrid,Manual,3.0,154050,94997,7765,High,737651705,10,Premium,Very High
X5,2013,Asia,Blue,Electric,Manual,2.6,110142,114844,5561,Low,638647484,11,Luxury,High
M5,2017,North America,Red,Diesel,Automatic,2.6,86900,81934,9755,High,799266170,7,Premium,Medium
5 Series,2017,North America,Silver,Electric,Manual,3.1,57843,111326,4880,Low,543270880,7,Luxury,Medium
X5,2012,Africa,Blue,Electric,Manual,3.8,142243,82677,7104,High,587337408,12,Premium,High
X3,2015,North America,Red,Diesel,Automatic,3.7,123910,88091,8635,High,760665785,9,Premium,High
X1,2014,Africa,White,Petrol,Manual,4.8,13568,62941,1113,Low,70053333,10,Premium,Low
M5,2011,Europe,Grey,Electric,Automatic,3.3,78042,49507,9383,High,464524181,13,Mid-Range,Medium
7 Series,2017,North America,Black,Petrol,Automatic,3.2,58288,101791,7521,High,765570111,7,Luxury,Medium
X5,2021,South America,Red,Diesel,Manual,2.2,184981,47527,6273,Low,298136871,3,Mid-Range,Very High
X3,2023,Middle East,White,Electric,Automatic,4.1,194398,85370,4645,Low,396543650,1,Premium,Very High
M3,2015,Asia,Red,Hybrid,Manual,2.0,41514,116902,8897,High,1040077094,9,Luxury,Low
X1,2011,North America,Black,Hybrid,Automatic,3.2,104742,107465,6481,Low,696480665,13,Luxury,High
M5,2021,Asia,Red,Hybrid,Automatic,3.0,105162,32076,9469,High,303727644,3,Mid-Range,High
M3,2014,Asia,White,Electric,Automatic,3.8,90282,64049,1440,Low,92230560,10,Premium,Medium
I8,2010,South America,Black,Hybrid,Automatic,4.7,16020,102215,5006,Low,511688290,14,Luxury,Low
I8,2021,South America,Silver,Diesel,Manual,4.8,3188,64577,448,Low,28930496,3,Premium,Low
M5,2019,Asia,Red,Diesel,Manual,2.1,97294,53277,4091,Low,217956207,5,Mid-Range,Medium
I8,2015,Asia,White,Hybrid,Automatic,2.4,194395,118788,3384,Low,401978592,9,Luxury,Very High
X1,2022,Middle East,Grey,Hybrid,Manual,4.3,143013,116432,4926,Low,573544032,2,Luxury,High
M5,2021,South America,Grey,Petrol,Automatic,3.3,88342,108240,4561,Low,493682640,3,Luxury,Medium
X3,2018,Middle East,White,Petrol,Manual,3.1,33370,52717,8046,High,424160982,6,Mid-Range,Low
I8,2010,Middle East,Grey,Petrol,Automatic,4.0,98514,37949,2278,Low,86447822,14,Mid-Range,Medium
M3,2020,Africa,Black,Petrol,Manual,3.6,82668,86748,3929,Low,340832892,4,Premium,Medium
X5,2020,Middle East,White,Hybrid,Automatic,4.9,132299,35401,7110,High,251701110,4,Mid-Range,High
I3,2024,Middle East,Red,Petrol,Automatic,3.5,135958,69578,173,Low,12036994,0,Premium,High
M5,2019,South America,White,Diesel,Manual,3.1,192690,37177,5946,Low,221054442,5,Mid-Range,Very High
X5,2021,Africa,Red,Diesel,Manual,3.4,99697,60278,2913,Low,175589814,3,Premium,Medium
X5,2021,Middle East,Black,Petrol,Automatic,4.3,44279,96256,7627,High,734144512,3,Premium,Low
X5,2024,South America,Black,Hybrid,Manual,3.6,111661,82675,2155,Low,178164625,0,Premium,High
I8,2023,Europe,Blue,Diesel,Automatic,3.8,78573,118317,7168,High,848096256,1,Luxury,Medium
I3,2023,North America,Silver,Petrol,Automatic,4.9,94453,79039,8283,High,654680037,1,Premium,Medium
5 Series,2024,Asia,Blue,Electric,Manual,3.7,157789,86855,648,Low,56282040,0,Premium,Very High
