Fuel_Type,Transmission,Color,Vehicle_Key
Petrol,Manual,Red,1
Hybrid,Automatic,Red,2
Petrol,Automatic,Blue,3
Diesel,Manual,Black,4
Diesel,Manual,Silver,5
Diesel,Manual,White,6
Diesel,Automatic,Black,7
Diesel,Automatic,White,8
Electric,Manual,White,9
Hybrid,Manual,Blue,10
Diesel,Automatic,Silver,11
Electric,Automatic,Black,12
Hybrid,Manual,Silver,13
Electric,Manual,Blue,14
Diesel,Automatic,Red,15
Electric,Manual,Silver,16
Petrol,Manual,White,17
Electric,Automatic,Grey,18
Petrol,Automatic,Black,19
Diesel,Manual,Red,20
Electric,Automatic,White,21
Hybrid,Manual,Red,22
Hybrid,Automatic,Black,23
Hybrid,Automatic,White,24
Hybrid,Manual,Grey,25
Petrol,Automatic,Grey,26
Petrol,Manual,Black,27
Petrol,Automatic,Red,28
Hybrid,Manual,Black,29
Diesel,Automatic,Blue,30
Petrol,Automatic,Silver,31
Hybrid,Manual,White,32
Hybrid,Automatic,Silver,33
Electric,Automatic,Red,34
Electric,Manual,Red,35
Electric,Manual,Black,36
Electric,Automatic,Silver,37
Petrol,Manual,Blue,38
Diesel,Manual,Grey,39
Electric,Manual,Grey,40
Petrol,Manual,Grey,41
Hybrid,Automatic,Grey,42
Petrol,Manual,Silver,43
Diesel,Automatic,Grey,44
Hybrid,Automatic,Blue,45
Electric,Automatic,Blue,46
Diesel,Manual,Blue,47
Petrol,Automatic,White,48
