Date_Key,Model_Key,Region_Key,Vehicle_Key,Sales_Class_Key,Sales_Volume,Price_USD,Revenue_USD,Engine_Size_L,Mileage_KM,Vehicle_Age
1,1,1,1,1,8300,98740,819542000,3.5,151748,8
2,2,2,2,2,3428,79219,271562732,1.6,121671,11
3,1,2,3,2,6994,113265,792175410,4.5,10991,2
4,3,3,3,2,4047,60971,246749637,1.7,27255,0
5,4,4,4,2,3080,49898,153685840,2.1,122131,4
6,1,3,5,2,1232,42926,52884832,1.9,171362,7
3,2,5,6,1,7949,55064,437703736,1.8,196741,2
7,5,1,7,2,632,102778,64955696,1.6,121156,10
1,3,4,8,1,8944,116482,1041815008,1.7,48073,8
8,2,5,9,2,4411,96257,424589627,3.0,35700,5
9,6,3,9,2,500,117995,58997500,2.4,101595,12
1,2,2,10,1,8252,74539,615095828,1.9,116863,8
5,4,2,11,1,8111,100015,811221665,3.8,27403,4
5,1,6,9,2,4668,119486,557760648,2.3,163444,4
6,7,1,12,1,7291,34078,248462698,1.6,107918,7
7,8,2,13,1,7765,94997,737651705,3.0,154050,10
2,9,1,14,2,5561,114844,638647484,2.6,110142,11
6,5,2,15,1,9755,81934,799266170,2.6,86900,7
6,1,2,16,2,4880,111326,543270880,3.1,57843,7
9,9,6,14,1,7104,82677,587337408,3.8,142243,12
10,3,2,15,1,8635,88091,760665785,3.7,123910,9
7,7,6,17,2,1113,62941,70053333,4.8,13568,10
11,5,5,18,1,9383,49507,464524181,3.3,78042,13
6,4,2,19,1,7521,101791,765570111,3.2,58288,7
12,9,4,20,2,6273,47527,298136871,2.2,184981,3
13,3,3,21,2,4645,85370,396543650,4.1,194398,1
10,8,1,22,1,8897,116902,1040077094,2.0,41514,9
11,7,2,23,2,6481,107465,696480665,3.2,104742,13
12,5,1,2,1,9469,32076,303727644,3.0,105162,3
7,8,1,21,2,1440,64049,92230560,3.8,90282,10
14,2,4,23,2,5006,102215,511688290,4.7,16020,14
12,2,4,5,2,448,64577,28930496,4.8,3188,3
8,5,1,20,2,4091,53277,217956207,2.1,97294,5
10,2,1,24,2,3384,118788,401978592,2.4,194395,9
3,7,3,25,2,4926,116432,573544032,4.3,143013,2
12,5,4,26,2,4561,108240,493682640,3.3,88342,3
15,3,3,17,1,8046,52717,424160982,3.1,33370,6
14,2,3,26,2,2278,37949,86447822,4.0,98514,14
5,8,6,27,2,3929,86748,340832892,3.6,82668,4
5,9,3,24,1,7110,35401,251701110,4.9,132299,4
4,10,3,28,2,173,69578,12036994,3.5,135958,0
8,5,4,6,2,5946,37177,221054442,3.1,192690,5
12,9,6,20,2,2913,60278,175589814,3.4,99697,3
12,9,3,19,1,7627,96256,734144512,4.3,44279,3
4,9,4,29,2,2155,82675,178164625,3.6,111661,0
13,2,5,30,1,7168,118317,848096256,3.8,78573,1
13,10,2,31,1,8283,79039,654680037,4.9,94453,1
4,1,1,14,2,648,86855,56282040,3.7,157789,0
13,11,6,24,1,7933,112542,892795686,2.8,84367,1
9,10,1,32,1,8438,93508,789020504,3.9,193905,12
12,3,1,33,2,6782,119692,811751144,3.8,57759,3
1,8,6,29,2,3153,49278,155373534,1.5,113832,8
2,2,3,17,2,5887,44269,260611603,3.1,42427,11
15,10,4,1,2,608,46127,28045216,4.1,1428,6
9,2,3,15,2,3291,100747,331558377,3.2,110845,12
7,5,4,34,2,3754,96739,363158206,4.2,125379,10
9,9,3,27,2,4125,57537,237340125,3.1,107014,12
1,11,4,33,1,9762,46263,451619406,4.9,180186,8
7,8,5,35,1,9390,65464,614706960,2.5,74474,10
15,6,6,36,2,3293,54762,180331266,1.8,117061,6
1,8,4,18,1,9470,93915,889375050,3.0,102675,8
11,11,3,30,2,5425,117237,636010725,3.4,27706,13
2,2,4,4,2,425,34193,14532025,2.7,150761,11
15,11,1,35,2,4935,89970,444001950,2.3,10027,6
12,6,2,23,2,660,65089,42958740,3.9,87632,3
13,6,5,36,2,4266,86402,368590932,2.8,128295,1
11,8,1,15,2,2191,44322,97109502,3.7,40915,13
8,3,1,37,2,1932,111352,215132064,4.2,88705,5
15,4,3,38,2,6962,50620,352416440,4.2,94859,6
8,6,4,13,2,1703,44950,76549850,2.8,193021,5
7,11,5,39,1,8589,101523,871981047,3.5,178427,10
11,1,3,2,2,2011,31815,63979965,3.1,139212,13
2,4,1,22,2,1564,118363,185119732,4.5,144832,11
12,10,4,35,2,945,43355,40970475,4.6,107985,3
4,7,5,28,2,4289,84346,361759994,2.7,24141,0
12,10,2,37,2,3748,66155,247948940,1.8,112862,3
1,7,5,27,2,3476,101753,353693428,2.1,37975,8
12,3,2,40,2,5759,68274,393189966,2.8,75480,3
3,3,3,41,1,9420,78144,736116480,3.5,52217,2
6,8,2,42,1,9797,87604,858256388,3.8,24291,7
4,5,2,4,1,7944,90388,718042272,2.7,143885,0
9,4,4,43,2,6709,102551,688014659,3.8,93073,12
13,4,2,44,2,4823,117121,564874583,4.8,64153,1
14,11,5,22,2,1048,68106,71375088,3.8,128477,14
2,2,3,41,1,9545,78729,751468305,2.1,119491,11
11,5,2,42,2,2167,71912,155833304,3.5,94375,13
6,5,4,17,2,3140,94286,296058040,3.4,190609,7
